contentid,contenttypeid,title,homepage,overview,tel,telname,createdtime,modifiedtime,firstimage,firstimage2,cpyrhtDivCd,areacode,sigungucode,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3,cat1,cat2,cat3,addr1,addr2,zipcode,mapx,mapy,mlevel
2784321,39,개금밀면,,"밀면은 일반적인 국수보다는 찰진 느낌이지만 냉면보다는 부드러운 느낌의 부산 지역에서 만들어 먹는 국수의 일종이다. 곱게 간 밀가루와 전분을 소금물로 반죽해서 뽑은 면을 닭고기나 소고기 또는 돼지고기 뼈를 고아 낸 육수에 말아먹는 부산의 향토 음식이다. 밀이 주된 재료인 면이기 때문에 소화를 돕기 위해 육수를 낼 때 감초, 당귀, 계피 등 한약 재료를 넣는 것이 특징이다. 입맛에 따라 식초와 겨자를 넣고 먹기도 하는데 본연의 진한 국물 맛을 느끼며 먹는 것도 좋다. 개금밀면은 보통의 음식점과는 다르게 들어가자마자 입구에서 주문하면서 바로 계산을 한다. 계산 후에 번호표를 주는데, 원하는 자리에 앉아서 기다리다가 번호가 울리면 찾아가면 되는 셀프식당이다. 부산 3대 밀면집 중 하나로 식사시간이 아니어도 대기 인원이 많다. 그래서 푸드 코트처럼 번호표를 받고 직접 가져다 먹고 다 먹은 그릇은 직접 치워야 하는 수고로움은 있지만 회전율이 빨라 오랜 시간 기다리지 않아도 금방 맛있는 밀면을 먹을 수 있다.",,,20211201191334,20250116105318,http://tong.visitkorea.or.kr/cms/resource/26/2787626_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/2787626_image2_1.jpg,Type3,6,7,26,230,FD,FD01,FD010100,A05,A0502,A05020100,부산광역시 부산진구 가야대로482번길 9-4,(개금동),47324,129.0251059496,35.1525864700,6
2834026,14,갤러리이알디 부산,"<a href=""http://galerieerd.com/#/3"" target=""_blank"" title=""새창 : 갤러리 ERD 부산로 이동"">http://galerieerd.com/#/3</a>","갤러리이알디는 2016년 서울 이태원에 개관하여 동시대 현대미술과 다양한 디자이너들의 작업을 소개해 오고 있다. 개관이래 국내외 작가들의 자체 전시 및 외부 프로젝트를 진행해 왔으며, 크고 작은 아트페어에 꾸준히 참여하여 작가들의 저변 확대를 도모하고 있다. 또한 아시아의 첫 ‘하우스 오브 핀 율’ (House of Finn Juhl Seoul) 로써 디자이너 Finn Juhl의 가구들과 역량 있는 국내외 디자이너들의 작업을 나란히 소개하며 감각적이고 선구적인 기호를 선보여 왔다. 2019년부터는 갤러리이알디가 확장 이전하여 파인 아트와 디자인을 각각의 공간에서 선보이고 있는데, 기존의 하우스 오브 핀 율과의 협력은 유지하면서 더욱 다채로운 국내외 작가들의 전시 및 프로젝트를 기획하고 있다.  2020년에는 갤러리이알디 부산 지점이 해운대에 개관하여 전시 플랫폼의 다변화 또한 꾀하고 있다.",,,20220808162726,20250521133910,http://tong.visitkorea.or.kr/cms/resource/60/2836060_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/2836060_image3_1.jpg,Type3,6,16,26,350,VE,VE07,VE070600,A02,A0206,A02060500,"부산광역시 해운대구 해운대해변로 302 (중동, 대림맨션)",,48099,129.1639936365,35.1610686425,6
2760771,39,거대갈비,,"육즙과 육질이 뛰어난 양질의 한우를 맛보고 싶다면 꼭 방문해야 할 맛집이다. 정갈하고 깔끔한 밑반찬으로 고객들의 입맛을 잡고, 숙련된 종업원들의 서비스와 쾌적한 환경에 푸짐한 정까지 더하면서 명성을 높이고 있다. 자극적으로 달거나 짜지 않고 딱 좋은 간에 입안에서 살살 녹는 부드러운 맛이다. 소중한 사람들과 특별한 시간을 갖기 안성맞춤이다.",,,20211021224836,20250902114540,http://tong.visitkorea.or.kr/cms/resource/56/2761256_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/2761256_image2_1.jpg,Type3,6,16,26,350,FD,FD01,FD010100,A05,A0502,A05020100,부산광역시 해운대구 달맞이길 22 (중동),,48099,129.1672794347,35.1620685910,6
2904908,39,거대곰탕,,해운대 동백역 근처에 있는 거대곰탕은 한우 중에서도 엄선한 차돌양지로 만든 고기 국물과 사골로 우려낸 깊이 있는 육수에 한국식 천연재료들로 탕반(장국밥)을 만들어 진하고 깔끔하다. 오픈하자마자 대기 손님이 있을 만큼 해운대 맛집으로 유명하다. 넓고 깔끔한 내부에 유리 통창으로 밖을 보며 식사할 수 있는 자리도 있어서 혼자 식사하기도 안성맞춤이다. 대표메뉴는 한우 곰탕이며 다양한 곰탕은 모두 맑은 곰탕과 뽀얀 곰탕으로 구분되어 있다. 주차장은 현대베네시티 아파트 상가동을 이용하면 되고 가까운 곳에 동백섬과 해운대해수욕장이 있어 식사 후 함께 둘러보기 좋다.,,,20221110151702,20251103171814,http://tong.visitkorea.or.kr/cms/resource/98/2904898_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/2904898_image3_1.jpg,Type3,6,16,26,350,FD,FD01,FD010100,A05,A0502,A05020100,부산광역시 해운대구 해운대해변로 163 현대베네시티아파트,상가동 103호,48091,129.1497310611,35.1584047875,6
2867215,39,거창맷돌순두부,,"거창맷돌순두부는 한자리에서 꾸준히 맛집의 전통을 이어오고 있다. 매일 새벽 시간부터 직접 순두부를 만들며, 기본 순두부는 원래 양념이 되어 있는데 기본에 충실한 맛이다. 가짓수가 많지는 않지만 메인 반찬으로 떡볶이, 잡채 기본 반찬으로 김치, 콩나물무침, 나물류, 샐러드를 제공한다.반찬 셀프바가 있어 부족한 것은 직접 덜어 먹을 수 있다. 반찬은 비빔밥도 해 먹을 수 있고 무한으로 리필할 수도 있다. 식당 내부는 쾌적하고 테이블도 많아 혼자 가서 식사하기에도 편안한 분위기이다. 원래 기사식당이었던 곳이라 식당 앞으로 넓은 전용 주차장이 있어 편리하다. 근처에 재한유엔기념공원이 인접해 있어 함께 둘러보기 좋다.",,,20221014112935,20250619172748,http://tong.visitkorea.or.kr/cms/resource/07/2867207_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/07/2867207_image3_1.JPG,Type3,6,4,26,290,FD,FD01,FD010100,A05,A0502,A05020100,부산광역시 남구 유엔로 221 (대연동),,48501,129.1005555434,35.1306125441,6
3422647,15,게임 체험 팝업 전시 ‘Game-Playground’,,"부산의 게임 개발사 6개 기업이 참여하여, 관람객이 게임 콘텐츠를 직접 체험하고 즐길 수 있는 팝업형으로 꾸며진 이번 전시는 시민과 관광객이 편하게 찾아와 지역 게임을 경험할 수 있도록 마련됐으며, 일상에서 부산 게임 콘텐츠를 가까이 만날 수 있는 장을 마련했다. 게임에 익숙하지 않은 방문객들도 부산의 게임을 보다 친근하게 느낄 수 있도록, 각 게임의 스토리와 이미지를 담은 전시 부스와 직접 플레이할 수 있는 체험존으로 구성하여 방문객이 편히 게임을 즐길 수 있게 기획되었다. 이번 게임 체험 팝업 전시 'Game Playground'에 참여하는 개발사는 부산에 소재하는 투핸즈인터랙티브 'DIDIM', 겜스터즈 '엘그라시아: 왕국연대기', 깡토스튜디오 '로얄블루의 마법의상실', 매직큐브 '최애캐와 파티가 되어버렸다', 씨플레이 '캣점프', 오드볼게임즈 '워른과 잊혀진 자들'이다. 전시 기간 관람객 참여 프로그램도 운영된다. 전시 게임을 즐기며 스탬프를 수집해 경품 추첨에 참여하는 스탬프 투어, 특정 게임을 집중 체험하는 스페셜 게임 이벤트, 전시장 체험 소감을 지정 해시태그와 함께 SNS에 올리면 추첨으로 기프티콘을 주는 후기 참여 이벤트 등이 준비됐다.",010-8552-8044,"부산광역시, 한국콘텐츠진흥원",20241120162631,20251208161314,http://tong.visitkorea.or.kr/cms/resource/58/3579258_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/3579258_image3_1.jpg,Type3,6,16,26,500,EV,EV03,EV030400,A02,A0208,A02081300,"부산광역시 수영구 광남로 96 (광안동, 광안 포디움프레스티지 1)",지하 1층,48303,129.1151037338,35.1504883662,6
129631,12,경상좌수영성지,"국가유산청 <a href=""https://www.heritage.go.kr/heri/cul/culSelectDetail.do?ccbaCpno=2332100080000&pageNo=1_1_1_1&sngl=Y""target=""_blank"" title=""새창: 국가유산청 홈페이지로 이동"">https://www.heritage.go.kr/</a>","경상좌수영성지는 경상도 옛 수군의 본영이었다. 좌수영은 조선시대에 동남해안을 관할했던 군영으로 예로부터 남쪽 지방이 지리적인 요인으로 잦은 왜구의 침략으로 피해를 받자, 왜구를 토벌하기 위해 부산에는 경상좌수영을, 통영에는 경상우수영을 세워 남쪽의 방위를 책임졌다. 원래 좌수영은 남구 감만동에 있었는데 태종 때 울산 개운포로 이전했다가 임진왜란 직전에 현재의 수영동으로 옮겨졌다고 한다. 좌수영성의 축조연대는 정확하지 않고 1692년에 개축한 것이라 한다. 좌수영의 동, 서, 남, 북에는 영일문, 호소문, 주작문, 공진문이라 불리는 4개의 문이 있었으며, 일정한 시각에 폐문루, 관해루에 달아둔 북을 울려 여닫았다. 그밖에 3개의 우물과 4개의 배수구, 옹성, 치성, 보루 등이 있었으며, 일제강점기에 대부분 파손되어 현재는 성벽임을 짐작하게 해주는 돌 터와 홍예문, 배수구, 그리고 성의 존재를 짐작하게 하는  남문만이 자리하고 있다.",,,20070720090000,20250409094203,http://tong.visitkorea.or.kr/cms/resource/02/3476802_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/3476802_image3_1.jpg,Type3,6,12,26,500,HS,HS01,HS010100,A02,A0201,A02010100,부산광역시 수영구 수영성로 43,(수영동),48229,129.1117117085,35.1743106361,6
2838907,39,고관함박,,"부산진역 1번 출구 바로 앞에 있는 고관함박은 함박스테이크 맛집이다. 함박스테이크와 쫄면이 조화로운 맛집으로, 고관까스와 비빔국수 조합이 특히 인기이다. 부드러운 고기와 매콤한 소스가 어우러져 만족스러운 식사를 제공한다. 비교적 저렴한 가격으로 함박스테이크를 제공해 많은 이들이 찾고 있다.",,,20220818142455,20250828105311,http://tong.visitkorea.or.kr/cms/resource/97/2838897_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/2838897_image3_1.jpg,Type3,6,5,26,170,FD,FD02,FD020300,A05,A0502,A05020200,부산광역시 동구 중앙대로349번길 14 (수정동),,48791,129.0462742511,35.1270313878,6
3336600,38,고래서이뻐,"<a href=""https://www.instagram.com/pretty_whale.shop/"" target=""_blank"" title=""새창 : 고래서이뻐 홈페이지로 이동"">https://www.instagram.com/pretty_whale.shop</a>",고래서이뻐는 해리단길에 주택을 개조해 만든 소품샵이다. 각종 바다와 고래에 관련된 수공예 기념품을 개발하고 판매하는 공간이다. 아기자기한 인형들이나 액세서리도 함께 판매하고 있어 여행 시에 둘러보기 좋은 공간이다. 오프라인에서 판매하는 모든 제품은 인스타그램을 통하여 택배로도 주문이 가능하다. 해운대와 가까워 관광과 함께 방문하기 좋은 명소로 자리 잡고 있다.,,,20240723173052,20250311105223,,,,6,16,26,350,SH,SH05,SH050300,A04,A0401,A04010900,부산광역시 해운대구 우동1로38번길 15-1 (우동),,48087,129.1583856629,35.1657319056,6
2785272,39,고향연화,"<a href=""https://www.instagram.com/pigbanggu""target=""_blank"" title=""새창 : 업체인스타그램 이동"">https://www.instagram.com/pigbanggu</a>","고향연화는 스페셜 안심카츠와 화로카츠 등 고품질 돈까스 메뉴와 전복리조또, 중화로제파스타 등 특색 있는 요리를 제공한다. 후토마키와 왕새우튀김도 인기 메뉴로, 바삭한 튀김옷과 촉촉한 속살이 조화롭다. 세련된 인테리어와 특색 있는 메뉴로 다양한 연령층에 인기가 많은 고향 연화는 대기시간이 발생할 수 있어 방문 시 여유 있게 시간을 잡고 가는 게 좋다.",,,20211202224016,20250828093425,http://tong.visitkorea.or.kr/cms/resource/82/2785282_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/2785282_image2_1.jpg,Type3,6,3,26,710,FD,FD02,FD020200,A05,A0502,A05020300,부산광역시 기장군 기장읍 연화길 33-8,,46082,129.2245979306,35.2172384782,6
2782765,12,곰내연밭,,"부산에서 여름에 가볼 만한 곳으로 인기가 많은 곳이다. 부산 기장군에 있으며, 철마중리연꽃공원이라고도 불린다. 연꽃 개화 시기는 7월부터 8월 사이라 이 시기에 방문하면 가득 핀 연꽃을 볼 수 있다. 연꽃, 연잎과 함께 개구리나 다양한 곤충들도 볼 수 있어 어린이들과 함께하기 좋다. 근처에는 산책하기 좋은 곰내재 숲 속 쉼터도 있고, 연잎이나 연을 재료로 하는 식당도 있다. 또한 여름과 어울리는 행사나 청정농산물 홍보행사 등 다양한 행사를 진행하는 곳이다.",,,20211129222303,20250325104359,http://tong.visitkorea.or.kr/cms/resource/58/2794158_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/2794158_image3_1.jpg,Type3,6,3,26,710,NA,NA04,NA040700,A01,A0101,A01010700,부산광역시 기장군 철마면 웅천리 254-4,,,129.1695450043,35.2954092493,6
134326,39,곰보식당,"<a href=""https://www.visitbusan.net/index.do?menuCd=DOM_000000201002001000&uc_seq=1822"" target=""_blank"" title=""새창 : 홈페이지로 이동"">https://www.visitbusan.net/kr/index.do</a>","곰보식당은 부산 사상구 삼락동에 위치한 한우 전문점으로 1975년에 개업하여 오랜 전통을 자랑하는 곳이다. 이곳은 오랜 노하우로 항상 선별된 최상의 한우 암소만을 취급하고 있다. 부드러운 맛보다는 한우 본연의 고소한 맛을 살리는 것에 집중하고 있다. 구포 축산물 도매시장과 바로 인접해 있어 천엽, 간 등의 횟간과 등골 등 각종 부위를 가장 신선한 상태에서 맛볼 수 있다. 갈빗살과 육회뿐만 아니라 곱창전골도 이 집의 자랑이다. 또한 고기를 먹고 난 후 곁들여 나오는 선짓국은 별미이다.",,,20020926090000,20250306150858,,,,6,9,26,530,FD,FD01,FD010100,A05,A0502,A05020100,부산광역시 사상구 낙동대로 1564,,46901,128.9878357701,35.1965808534,6
2841481,39,공극샌드커피,"<a href=""https://www.instagram.com/gonggeuk_sand/""target=""_blank"" title=""새창: 공극샌드커피 공식인스타그램으로 이동"">https://www.instagram.com/gonggeuk_sand/</a>","부산광역시 기장 앞바다를 보며 힐링의 시간을 가질 수 있는 공극샌드커피는 카페 이름이 독특한데 비가 오거나 날씨가 조금 흐려져도 맛이 달라질 수 있는 커피를 내리는 과정에서 형성될 수 있는 미세하고 독특한 맛과 모래에 넘어져도 모래와 모래 사이의 공간인 공극 때문에 다치지 않고 일어설 수 있다는 스토리텔링의 의미까지 담고있다. 야외테라스 및 루프탑이 있어 마음껏 바다 풍경을 즐길 수 있다. 루프탑에는 거울 포토존이 있어 인기가 좋으며, 노란 파라솔이 달린 평상에 앉아 바다와 빨간 등대를 바라보며 커피를 마실 수 있다. 전용 주차장이 있고 주차요원이 있어 편한 주차가 가능하다. 맑은 바닷물과 은빛의 백사장이 가득한 송정해수욕장과 바다와 가장 가까운 사찰로 용궁사가 인접해 있다. 주변 관광 후에 잠깐의 피로를 풀기에 좋은 카페다.",,,20220823112636,20250605113025,http://tong.visitkorea.or.kr/cms/resource/76/2841476_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/2841476_image3_1.jpg,Type3,6,3,26,710,FD,FD05,FD050100,A05,A0502,A05020900,부산광역시 기장군 기장읍 공수해안길 41,,46084,129.2131276086,35.1845252618,6
128610,12,공수어촌체험마을,"<a href=""http://www.xn--ob0b66vnogvydg9bu8mura767c.kr/""target=""_blank"" title=""새창: 공수어촌체험마을 "">http://www.공수어촌체험마을.kr/</a>","부산 기장군 공수어촌체험마을은 맑고 푸른 동해와 접하고 있어 수려한 해안절경과 천혜의 자연경관으로 도시민의 휴양지로 각광을 받고 있어 관광개발의 잠재력이 풍부하며, 부산의 외곽지역으로 해운대 및 송정해수욕장과 연계되어 있으며 동해 남부선 철도와 국도 14호선이 기장군의 중심부를 관통하여 교통이 매우 편리한 여건을 가지고 있다. 공수란 마을명은 이 마을에 공수전(公須田)이 있는 데에서 유래되었다. 공수전은 고려 시대 때 관청의 영선비, 출장 중인 관리의 숙박이나 접대비 등을 충당하기 위하여 마련해 놓은 밭을 말한다. 이곳은 공수전에 있었기 때문에 공수라는 이름이 되었다. 조선조 광해군 시대는 기장군 남면 공수어촌체험마을이었으나 1914년 기장군이 동래군에 병합되면서 기장면 시랑리 공수어촌체험마을로 되었다.",,,20050926090000,20250325145220,http://tong.visitkorea.or.kr/cms/resource/32/2504632_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/2504632_image2_1.jpg,Type3,6,3,26,710,EX,EX03,EX030400,A02,A0203,A02030100,부산광역시 기장군 기장읍 공수해안길 13-2,,46084,129.2111944455,35.1844585662,6
